,bowler,matches,wickets,economy,bowling_sr,dot_ball_pct,bowling_score
1,JJ Bumrah,25,42,6.3,14.69,47.97,83.54
2,Mohammed Siraj,43,51,7.93,20.18,49.85,82.14
3,M Pathirana,30,50,7.79,14.52,42.84,80.39
4,MM Ali,20,17,7.91,17.94,33.77,80.12
5,Noor Ahmad,37,48,7.68,17.23,38.33,79.3
6,KK Ahmed,37,43,8.88,19.21,48.55,79.28
7,VG Arora,27,35,8.78,16.4,43.55,78.92
8,CV Varun,41,57,7.71,16.4,41.5,78.78
9,M Jansen,25,28,9.03,19.46,44.4,78.77
10,TA Boult,41,52,8.15,17.37,43.41,78.59
11,I Sharma,24,26,8.82,17.54,43.64,78.02
12,Harshit Rana,30,41,9.06,15.8,42.59,77.67
13,Mohammed Shami,26,34,8.69,16.97,45.58,77.51
14,SP Narine,40,41,7.26,21.78,35.16,77.49
15,DL Chahar,32,29,8.28,20.66,45.08,77.32
16,PP Chawla,27,36,8.2,15.97,33.91,77.28
17,Arshdeep Singh,44,60,8.9,16.7,41.62,77.23
18,Kuldeep Yadav,39,42,7.56,21.21,33.33,77.22
19,K Rabada,21,20,9.17,24.3,41.77,76.99
20,TU Deshpande,39,51,9.03,17.06,42.41,76.98
21,M Theekshana,29,24,8.12,28.29,33.43,76.96
22,B Kumar,44,46,8.79,21.24,41.45,76.68
23,AR Patel,39,28,7.65,27.57,33.94,76.59
24,C Green,29,20,8.5,22.6,40.04,76.45
25,KH Pandya,39,32,7.59,23.16,34.14,76.21
26,PJ Cummins,30,34,8.86,20.21,38.57,75.67
27,Yash Dayal,34,32,9.11,22.34,38.6,75.67
28,KV Sharma,21,25,9.9,14.64,30.33,75.47
29,Suyash Sharma,27,20,8.54,28.45,35.15,75.35
30,MA Starc,24,38,9.64,13.26,42.66,75.31
31,T Natarajan,28,34,8.8,18.59,35.13,75.28
32,Harpreet Brar,31,25,8.02,20.84,33.4,74.93
33,JD Unadkat,21,22,8.61,17.64,34.02,74.8
34,HV Patel,40,60,9.04,14.77,34.54,74.78
35,Sandeep Sharma,32,40,8.51,18.8,34.04,74.68
36,Yash Thakur,21,27,9.76,17.48,37.5,74.35
37,R Ashwin,36,31,7.88,26.65,31.84,74.21
38,AD Russell,32,34,10.24,11.62,36.96,74.19
39,RD Chahar,24,18,8.2,27.11,32.17,74.18
40,YS Chahal,42,56,8.75,17.04,31.24,73.93
41,R Sai Kishore,20,26,8.96,13.65,32.96,73.88
42,Rashid Khan,44,47,8.56,21.38,32.14,73.75
43,Mukesh Kumar,32,45,9.8,15.0,37.78,73.74
44,Avesh Khan,37,41,9.53,19.51,32.25,73.41
45,Ravi Bishnoi,39,36,8.71,22.36,34.29,73.16
46,SN Thakur,28,27,9.77,20.56,31.53,73.07
47,RA Jadeja,44,38,7.63,22.16,31.47,72.88
48,MP Stoinis,21,11,9.64,22.45,36.44,72.81
49,SM Curran,32,27,9.93,22.63,33.22,72.58
50,HH Pandya,37,31,9.41,19.55,37.79,72.15
51,MM Sharma,33,49,9.26,13.8,29.44,71.7
52,Shahbaz Ahmed,23,9,10.61,29.33,29.17,70.85
